kirain cuma di saya tapi tetap pakai soal worth it	positive
di by u mbps bisa kalo yakan bikin paket	neutral
ujung ujung cust yang rugi padahal beli kuota topping kan biar kuota utama ngga sedot	negative
blm pernah cb by u sih jadi tidak tau gimna	neutral
jaring kenapa hilang tiba tiba nih berat kali beban hidup ya	negative
serius nih tiap bulan sekaali min	neutral
nungguin thr dari by u aja kak tcoxocomvqv	neutral
saya gadapet kuota anniversary tahun	neutral
nyaman aja sih	positive
g tidak masalah sih	neutral
g nya byu dah cukup buat drakoran	positive
saya sudah guna by u tapi lupa nomernya gimana cara cek nomor	neutral
gb lebih sih kadang	neutral
penting banget sinyal by u yang skrg jadi lot nih dikawatirkan menganggu mental health	negative
min isi pulsa byu bisa lewat tokopedia ga sihh	negative
tolong dong ini byu lg ganggu atau apadah tidak biasa begini ini lot banget mau apa ig twiter tidak mu tcouwcrwkt	negative
ganti yuk ke	positive
beli pakai linkaja sukses saldo sudah potong riwayat juga sudah sukses	positive
min yg cap satu jempol gb mana kok tidak ada	neutral
bisa beli pulsa by u	positive
signal full sayang g sering rto dan speed internet jelek banget tcolcvsydbpgd	negative
sinyal ini gimna parah gin jaring admin	negative
jaring internet nya baik	negative
masa buka aplikasi by u juga ga bisa	negative
bagus itu lama saya pakai belum pernah sekalipun dapet sms nyasar pinjam online atau dapet kejut had tcokyharcjoou	positive
by u bikin paket yang masa aktif unlimited dong buat perangkat iot gitu	neutral
kak kenapa ya by u tidak ada koneksi internet padahal sinyal full dan kuota unlimited masih panjang tconbfndouoo	negative
masih gabisa internetan sudah hari	negative
bang masa buka spotify aja harus pakai vpn	negative
min kok dah dari hari yang lalu aplikasi nya ga bisa buka terus ku kira gara blm ku update	negative
liat league code fantasynya mana ya	neutral
	
admin by u kamu nctzen kah	neutral
buruk amat nih sinyal beberapa hari ini	negative
lanjur gb gabisa buat stream telegrm provider broken	negative
hehh jaringamu hari belakang ini bikin ganggu mental lho	negative
tiap di mention isi keluh	negative
topping mola tv milih yg mana ya kak	neutral
pura pura signal ilang saat gilir jawab kuis	negative
halo saya di bogor kenapa silang mulu jaring by u yaaa	negative
ora usah jawab cak	neutral
parah banget	negative
kalo misal by u tidak baik pindah aja fran	negative
siap sii tapi hpnya yg tidak siap	neutral
